COUNTRY,ISO3,INFORM RISK,RISK CLASS,Rank,Lack of Reliability (*),HAZARD & EXPOSURE,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Probability,Current Conflict Intensity,VULNERABILITY,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,LACK OF COPING CAPACITY,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years)
Afghanistan,AFG,7.8,Very High,7,4.019900498,7.6,5.6,8.8,7.3,0,0,0,8.7,6.1,8.9,9.7,7.5,8.3,8.1,8.9,8.9,5.7,8.4,10,1.9,4.3,2.7,7.3,4.4,7.4,7.9,7.1,8.7,6.8,6.7,5.8,7.9,4,0.078431373,YES,0.402985075
Albania,ALB,2.9,Low,126,3.333333333,3.5,5.5,8.3,4.6,6.8,0,7.4,3.9,3.7,0.9,0.1,1.7,2.1,2,1.9,1.3,2.9,2.2,3.7,0.2,0.5,0,1.1,0.5,3.3,4.4,3.5,5.2,2.1,1.8,1.4,3.2,5,0.098039216,,0.375
Algeria,DZA,3.5,Medium,95,2.473429952,3.2,3.3,7.9,3.6,1.4,0,0.7,2.6,3.6,3.1,2.6,3.5,3.1,2.4,2.9,3.4,0.2,3.8,6.1,0.3,1.2,0.1,0,0.4,4.4,4.8,3.1,6.5,4,2.8,4.1,5.1,0,0,,0.463768116
Angola,AGO,5.5,High,32,2.473429952,4.4,2.9,0.1,3.9,0,0,3.4,3.7,6.8,5.6,7.5,2.7,5.5,5.7,8,6.8,0.1,5.2,4.7,4.4,4.7,7.5,5.7,5.7,7,6.8,6.7,6.9,7.1,5.8,7.8,7.8,0,0,,0.463768116
Antigua and Barbuda,ATG,2,Very Low,174,6.300653595,2,3.7,5.1,0,0,8.2,4.3,0,3.7,0,0,0,1.2,1.1,1.5,x,0.3,1.3,0.8,0,0.7,0,5.1,1.7,3.4,5.3,6.3,4.2,1,0.3,0.2,2.4,19,0.37254902,,0.431372549
Argentina,ARG,3,Low,117,3.97037037,2.6,4.3,5.5,7.7,0,0,3.7,5.6,4.4,0.6,0.2,0.9,2.7,1.4,0.8,3.9,0.1,3.9,6,0.3,0.6,1.9,0.9,0.9,4,5.6,5,6.1,2,1.5,3,1.4,6,0.117647059,,0.444444444
Armenia,ARM,3.1,Low,113,3.267661692,3,3.7,7.3,5.3,0,0,0,5.4,4.1,2.3,0.4,3.9,3.8,1.7,1.2,1.7,2.5,5.4,8,0.4,0.7,0.3,1,0.6,2.7,3.7,2,5.4,1.5,1.4,1.2,1.8,3,0.058823529,,0.462686567
Australia,AUS,2.5,Low,149,4.147126437,2.9,4.7,0.1,5.4,5.7,4.1,6.2,6.2,3.5,0.6,0.1,1,2.1,0.4,0,1.6,0,3.6,5.9,0.1,0.3,0.3,0.8,0.4,2.5,3.2,4.3,2.1,1.7,1.8,3,0.2,9,0.176470588,,0.327586207
Austria,AUT,2.4,Low,155,4.573584906,1.4,2.5,3.9,7.2,0,0,0,1.7,1.5,0.2,0.1,0.3,3.2,0.3,0,1,0.1,5.3,8,0.1,0.2,0,0,0.1,3,4.8,6.7,2.8,0.6,1.5,0,0.4,13,0.254901961,,0.20754717
Azerbaijan,AZE,4.4,Medium,64,3.707103825,3.6,4.1,7.8,6.6,0,0,0,5.3,4.3,3,1.4,4.3,4.9,2.6,2.8,4.4,0.4,6.6,9.2,0.4,1.3,0,0.6,0.6,4.8,6.5,x,6.5,2.4,1.5,2.6,3.2,8,0.156862745,,0.295081967
Bahamas,BHS,2.3,Low,158,6.300653595,2,3.5,0.1,0,0,7.4,6.1,1.7,5,0.1,0.1,0,1.9,1.9,1.6,4.4,0.1,1.9,1.9,0.5,1,0,5.1,1.9,3.2,4,x,4,2.3,1.9,2,3,16,0.31372549,,0.431372549
Bahrain,BHR,1.8,Very Low,180,6.300653595,2.1,1.6,0.1,0,0,0,5.3,0,4.1,2.5,0.3,4.3,0.8,0.7,0.2,2.4,0,0.9,1.2,0.1,0.5,0,1.2,0.5,3.4,5.2,6.2,4.2,1.1,0.8,0,2.6,16,0.31372549,,0.431372549
Bangladesh,BGD,6,High,23,2.393034826,7.8,8.1,8.9,9.9,8.1,7.9,8.9,2.4,7,7.4,8.8,5.1,6.1,4.6,6.3,4.4,1.3,7.3,8.1,1.9,3.6,10,3.7,6.2,4.6,4.8,2.5,7.1,4.4,3.8,4.4,4.9,3,0.058823529,,0.208955224
Barbados,BRB,2.1,Very Low,166,4.910691824,2.4,4.3,5.4,0,3.7,8.1,1.5,0.5,6.6,0,0,0,1.5,2.4,2.6,3.9,0.3,0.5,0,0.6,0.8,0.9,1.3,0.9,2.5,3.2,2.7,3.7,1.8,2.3,0.2,3,12,0.235294118,,0.320754717
Belarus,BLR,2.6,Low,140,4.088888889,2.4,1.9,0.1,5.8,0,0,0,2.2,3.5,2.9,0.1,5,2.4,1.3,2,0.7,0.3,3.3,5.4,0.4,0.2,0,0.8,0.4,3.2,5,3.1,6.9,0.9,1.2,0.1,1.4,8,0.156862745,,0.366666667
Belgium,BEL,2.6,Low,140,3.846327684,2,3.4,2.9,6.2,0,0,7.7,1.3,1.7,0.3,0.1,0.4,2.6,0.2,0,0.5,0.4,4.5,7.2,0.2,0.3,0,0,0.1,3.3,5.2,7.3,3,0.9,1.8,0,0.8,9,0.176470588,,0.271186441
Belize,BLZ,3.6,Medium,89,6.020338983,2.1,3.8,2,2.2,3,5,6,2.2,4.8,0.1,0.1,0,4.8,4.1,4.3,6.1,1.7,5.4,5.3,0.7,0.9,10,1.8,5.4,4.8,5.8,x,5.8,3.7,3,3,5.1,8,0.156862745,,0.728813559
Benin,BEN,5.3,High,39,1.657971014,4,3.1,0.1,6.6,0,0,1.9,0.9,7.5,4.8,5.2,4.3,5.2,6.3,8.8,5.6,2.1,3.8,4.2,4.2,5.3,0.1,2.5,3.3,7,6.8,8,5.5,7.2,6.1,8.1,7.3,1,0.019607843,,0.260869565
Bhutan,BTN,2.9,Low,126,3.84516129,2,2.8,6.8,4.2,0,0,0,0,5,1.1,0.1,2,2.7,4.1,4.4,2.7,4.9,1.1,0,1.5,2.3,0,4.2,2.1,4.3,4.7,6,3.4,3.9,3,4.1,4.6,7,0.137254902,,0.370967742
Bolivia,BOL,4.2,Medium,74,3.712820513,3,4.6,7.1,5.5,0,0,0,7,7.4,1.1,0.3,1.8,4.6,4,5,4.8,1.1,5.2,4.3,0.8,1.3,9.6,6.2,5.9,5.2,6.1,5.3,6.8,4.2,2.3,4.6,5.6,5,0.098039216,,0.446153846
Bosnia and Herzegovina,BIH,3.5,Medium,95,4.956321839,2.5,2.9,6,5.9,0.3,0,0,3.1,2.4,2,0.1,3.5,3.6,2.6,2.9,2,2.7,4.5,7,0.2,0.5,0.3,1,0.5,4.9,6.8,x,6.8,2.1,1.6,1.3,3.5,11,0.215686275,,0.379310345
Botswana,BWA,3,Low,117,2.441025641,1.3,2.3,0.1,3.6,0,0,0,5.9,4,0.2,0.1,0.2,4,4.8,5.6,6.8,1.1,3.2,1.3,5.2,3,4.5,6,4.8,5.2,6.2,8.2,4.2,4,2.3,4.4,5.4,3,0.058823529,,0.307692308
Brazil,BRA,5.2,High,42,4.238095238,6.8,4.1,0.5,7.7,0,0,5,4.5,6.4,8.4,10,4.7,4.1,3.4,3.7,6,0.1,4.7,7,0.6,1,1.5,1,1,4.9,6.4,x,6.4,3,2,3.4,3.7,7,0.137254902,,0.285714286
Brunei Darussalam,BRN,2.3,Low,158,6.405228758,1.6,2.9,0.1,4.8,1.9,0,3.3,2.6,5.6,0,0,0,3,1.7,1.5,3.7,0,4.1,6.3,0.6,0.7,0,2,0.9,2.6,3.1,x,3.1,2.1,1.2,2.4,2.7,17,0.333333333,,0.450980392
Bulgaria,BGR,2.6,Low,140,3.670056497,1.9,3.2,6.2,5.1,0,0,2.9,2.8,3.3,0.5,0.1,0.8,3.1,1.9,2,3.1,0.5,4.2,6.5,0.2,0.5,0.1,2,0.7,3,4.4,3.5,5.3,1.3,1.6,1.3,1,8,0.156862745,,0.288135593
Burkina Faso,BFA,7.5,Very High,11,2.169082126,8.1,2.9,0.1,2.2,0,0,0,6.3,7.3,10,10,9.9,7.4,6.8,9.2,5.4,3.2,8,9.8,3,5,3.7,3.8,3.9,7.1,6.5,6.6,6.3,7.6,7.6,9,6.2,1,0.019607843,YES,0.275362319
Burundi,BDI,5.9,High,26,2.185915493,5.2,2.9,4.5,2.6,0,0,0,3.9,6.7,6.9,7.3,6.5,6.4,7.3,9.7,4.9,4.9,5.4,6.1,2.8,5,1.8,7.4,4.6,6.3,5.3,2.7,7.9,7.1,7.5,7.1,6.7,2,0.039215686,,0.309859155
Cabo Verde,CPV,2.2,Low,161,4.117514124,0.8,1.6,0.1,0,0,0,0,4.9,4.3,0,0,0,3.3,4.6,4.8,4.4,4.3,1.7,1.1,1.4,0.9,2.2,4,2.2,4.1,4.8,5.1,4.4,3.3,2.6,2.7,4.7,9,0.176470588,,0.322033898
Cambodia,KHM,4.5,Medium,62,2.625641026,3.4,4.6,0.1,8.7,2.8,1.8,3.8,4.2,6.1,1.9,0.5,3.1,4.8,5.6,6.4,6.5,2.9,3.9,5.5,2.5,2.7,0.3,1.9,1.9,5.7,6.4,5.9,6.8,4.8,3.2,5.1,6,4,0.078431373,,0.292307692
Cameroon,CMR,6.8,High,18,2.428571429,7.1,3.6,0.1,6.7,0,0,2.6,3.9,7.6,9,9.7,8.1,6.6,5.7,7.8,5.9,1.3,7.4,9.3,4.1,3.9,4,1.7,3.5,6.8,7.1,x,7.1,6.5,4.7,7.2,7.7,1,0.019607843,YES,0.314285714
Canada,CAN,2.7,Low,135,4.350877193,2.7,4.6,4.8,7.1,5.7,2.3,5.4,2.2,3.2,0.2,0.1,0.2,2.9,0.3,0,1.3,0,4.8,7.4,0.2,0.4,0.1,0.4,0.3,2.5,2.6,2.9,2.3,2.3,2.1,3.1,1.6,10,0.196078431,,0.315789474
Central African Republic,CAF,8.1,Very High,4,3.801932367,6.9,3.1,0.1,6,0,0,0,3,7.8,8.9,10,6.7,8.7,8.3,10,6.8,6.2,9.1,9.7,8.9,6.1,10,6.2,8.3,8.8,8.1,x,8.1,9.4,8.8,9.7,9.7,3,0.058823529,,0.420289855
Chad,TCD,8,Very High,6,1.941176471,7.1,4,0.1,8.1,0,0,0,6,7.3,8.8,10,6.4,8.3,7.1,10,6,2.5,9.2,10,3.4,6,10,8.4,7.8,8.7,8,x,8,9.3,8.6,9.7,9.5,2,0.039215686,,0.191176471
Chile,CHL,3.2,Medium,109,5.144086022,3.6,5.5,9.6,5.5,8.6,0,2.7,0.3,3.3,1,0.2,1.7,3.8,1.3,0.8,3.5,0,5.6,8.2,0.6,0.3,0.6,1.6,0.8,2.5,3.2,2.6,3.7,1.8,1.1,2.7,1.6,8,0.156862745,,0.564516129
China,CHN,3,Low,117,3.440437158,5.8,7.8,6.7,9.3,9,7.8,9,4.6,5.4,2.5,1,3.8,1.4,2.4,3.4,2.6,0,0.3,0,0.3,0.5,0.2,0.8,0.5,3.3,3.9,3,4.7,2.6,1.7,3.3,2.7,7,0.137254902,,0.295081967
Colombia,COL,5.3,High,39,4.31840796,7.7,6.5,8.9,7,8.1,4,6.2,2.8,5.6,8.6,10,5.3,6.2,3.8,3.9,6.3,1,7.8,10,0.7,0.9,2.9,1.3,1.5,3.1,3.6,1.5,5.7,2.6,1.5,3.4,3,4,0.078431373,,0.447761194
Comoros,COM,3.3,Medium,103,4.086021505,1,1.9,0.1,0,2,1.5,2.9,0,5.4,0.1,0.2,0,5.2,6.9,7.5,5.1,7.3,2.7,0,2.1,3.8,7.4,4.8,4.8,7.2,8.3,8.5,8,5.6,5.1,5.8,5.8,5,0.098039216,,0.516129032
Congo,COG,5,Medium,44,3.247058824,3,3.3,0.1,7.6,0,0,2,0.9,7.2,2.6,1.2,3.8,5.7,5.7,6.9,6.8,2.3,5.7,6.2,6,3,3.9,7.1,5.2,7.2,7.7,x,7.7,6.7,5.1,8,7.1,1,0.019607843,,0.558823529
Congo DR,COD,8.1,Very High,4,2.985507246,8.3,4,4.2,7,0,0,1,2.3,8.3,10,10,10,7.8,6.7,8.9,6.5,2.4,8.6,9.6,5.1,5.5,8.3,8.4,7.1,8.1,8.2,x,8.2,8,6.7,9.5,7.9,2,0.039215686,YES,0.347826087
Costa Rica,CRI,3.3,Medium,103,2.461538462,3.3,5.4,9.1,2.4,8.3,1.3,4.1,1,5.4,0.5,0.2,0.8,5.1,2.2,1.5,4.3,1.4,7.1,8.3,0.3,0.6,10,2,5.3,2.2,2.5,0.6,4.4,1.8,1.1,1.9,2.5,4,0.078431373,,0.261538462
Côte d'Ivoire,CIV,4.9,Medium,48,1.994366197,2.8,3,0.1,4.8,0.9,0,2.1,0.9,7.8,2.5,0.5,4.1,6.3,5.8,8.1,5.4,1.7,6.8,8.8,4.8,4.2,0,2,3,6.5,6.4,7.1,5.6,6.6,4.7,7.2,7.8,1,0.019607843,,0.323943662
Croatia,HRV,2.5,Low,149,4.16374269,2.7,4.5,5.6,6.8,5.8,0,5,3.3,2.6,0.5,0.1,0.8,2,0.8,0.4,1.1,1.2,3.1,5.1,0.1,0.4,0.1,1.2,0.5,2.9,4.5,x,4.5,0.9,1.6,0.2,0.9,10,0.196078431,,0.280701754
Cuba,CUB,3.3,Medium,103,4.533333333,3.5,4.9,5,0.5,3.2,8,5.7,4,5.2,1.9,0.1,3.4,2.6,2.2,2.2,4,0.5,3,0,0.4,0.6,10,1.3,5.2,4.1,6,x,6,1.5,2.4,1.9,0.1,10,0.196078431,,0.35
Cyprus,CYP,2.9,Low,126,3.954022989,2.2,3,6.9,0,4,0,2.9,2.7,2.3,1.3,0,2.5,4.3,0.7,0,2.5,0.3,6.6,9.2,0.1,0.3,0,2,0.6,2.5,4,x,4,0.6,0.9,0,0.9,10,0.196078431,,0.24137931
Czech Republic,CZE,1.9,Very Low,175,4.460606061,1.1,1.6,0.5,5.7,0,0,0,1.3,1.7,0.6,0.1,1.1,3.4,0.4,0.1,0.9,0.3,5.6,8.1,0.1,0.2,2.4,1,1,1.8,2.8,2,3.6,0.7,1.7,0,0.3,12,0.235294118,,0.236363636
Denmark,DNK,1.4,Very Low,186,3.79047619,1.5,2.3,0.1,0,0,0,7.1,3.3,2.3,0.6,0.1,1.1,2.2,0.2,0,0.5,0.1,3.8,6.2,0.1,0.3,0,0.6,0.3,0.8,1,x,1,0.5,1.3,0,0.2,11,0.215686275,,0.160714286
Djibouti,DJI,5,Medium,44,4.231693989,3.6,4.5,5.4,0,4.9,0,4.3,7.9,5.2,2.5,0.7,4,5.3,5.7,7.7,4.1,3.1,4.9,6.1,1.9,3.8,4.2,3.6,3.4,6.4,6.7,x,6.7,6,5,5.8,7.3,8,0.156862745,,0.393442623
Dominica,DMA,2.8,Low,131,8,2.2,3.9,3.8,0,5.5,7.8,2,0,4.3,0,0,0,2.7,4.2,3.2,x,6.1,0.9,0,0.2,2.5,0,4,1.8,3.7,4.3,x,4.3,3,2.5,1,5.4,19,0.37254902,,0.791666667
Dominican Republic,DOM,4.3,Medium,68,2.583333333,4.6,6.8,9.2,2.2,5.1,10,4.8,0.5,7.4,1.4,0.2,2.5,4.1,3.1,3.1,4.4,1.6,4.9,6.4,1.4,1.6,5.9,1.1,2.8,4.3,5.6,x,5.6,2.8,2.1,2,4.2,5,0.098039216,,0.234375
Ecuador,ECU,5.4,High,35,3.125,6.9,6.5,9.5,6.5,9,0,4.9,3.5,6.1,7.3,8.9,4.4,4.5,3,3,4.9,1,5.8,8,0.5,1.1,1.3,4.2,1.9,5,6.4,6.4,6.4,3.2,2.3,3.1,4.3,5,0.098039216,,0.21875
Egypt,EGY,4.3,Medium,68,3.717647059,5,6.2,4.6,9.9,5.9,0,9,2.2,3.2,3.5,1.9,4.9,4,3.2,4.1,3.5,1.2,4.8,7.2,0.2,1.5,0,1.8,0.9,4,4.4,2.5,6.3,3.6,3.3,3.3,4.3,1,0.019607843,,0.647058824
El Salvador,SLV,4,Medium,79,3.814141414,3.8,5.6,9.2,3.5,7.6,1.3,4.3,3.6,5.2,1.3,0.6,1.9,4.6,4.8,5.1,4.2,4.6,4.4,6.5,1.2,1,0.2,2.2,1.2,3.7,4.5,3,6,2.8,1.7,2.1,4.7,4,0.078431373,,0.515151515
Equatorial Guinea,GNQ,3.4,Medium,98,4.888888889,1.9,2.3,0.1,2,0,0,2,3,6.5,1.4,0.2,2.5,2.9,3.4,5,x,0.1,2.3,0,6.3,3.4,0,5.5,4.2,7.2,8.2,x,8.2,5.9,3.8,6.6,7.3,9,0.176470588,,0.466666667
Eritrea,ERI,4.8,Medium,56,5.81420765,2.8,3.5,3.5,1.3,0,0,4,6.7,5.9,2,0.6,3.2,4.9,5.8,8.1,x,1.1,3.8,3.8,0.9,5.8,0,6.3,3.8,8.1,8.7,x,8.7,7.3,6,9.7,6.1,10,0.196078431,,0.590163934
Estonia,EST,1.9,Very Low,175,4.364912281,1.3,1.5,0.1,5.4,0,0,2.1,0,1.4,1,0,1.9,3.4,0.4,0,1.5,0.2,5.5,8.1,0.4,0.1,0,1.3,0.5,1.5,2.3,2,2.5,0.7,0.8,0,1.3,9,0.176470588,,0.368421053
Eswatini,SWZ,3.5,Medium,95,2.937198068,2,1.8,0.1,1.8,0,0.2,0,5,4.1,2.1,1,3,4.4,5.5,6.5,7,1.9,3,2.9,4.7,2.6,0,3.9,3,4.9,5.6,4,7.1,4.2,3,5.1,4.5,0,0,,0.550724638
Ethiopia,ETH,7.1,Very High,13,2.629107981,7.8,3.7,4.6,5.1,0,0,0,5.2,7.1,9.6,10,9,6.6,6,8.9,4.6,1.7,7.1,8.7,2.8,4.2,5.5,5.4,4.6,7.1,5.9,5.4,6.4,8,7,9.7,7.4,0,0,YES,0.394366197
Fiji,FJI,3.3,Medium,103,3.97037037,2.8,4.9,3.1,0,7.1,6.9,7.1,2.8,4.3,0,0,0,3.7,3.8,3.1,2.9,6.1,3.6,0,4.1,1.6,10,2.3,6.1,3.4,3.3,2.3,4.3,3.4,2.4,3.3,4.4,6,0.117647059,,0.444444444
Finland,FIN,1.9,Very Low,175,4.385185185,1.8,2.6,0.1,6.2,0,0,5.3,1.7,2,1,0,1.9,2.4,0.2,0,0.6,0.1,4.2,6.6,0.1,0.2,0,1.4,0.4,1.7,2.6,3.7,1.4,0.8,1.4,0.5,0.4,12,0.235294118,,0.222222222
France,FRA,2.7,Low,135,3.687356322,3,4,2.8,7.5,2.5,0,7.4,1.6,2.4,1.9,1.2,2.5,3.2,0.4,0,1.4,0.2,5.2,7.8,0.3,0.3,0.4,0.4,0.4,2.1,3.2,3.3,3,0.9,1.8,0.1,0.7,9,0.176470588,,0.24137931
Gabon,GAB,4,Medium,79,2.967741935,2.9,3.1,0.1,5.6,0,0,5.1,0.9,6.7,2.6,0.1,4.6,3.5,4.3,5.6,5.2,0.7,2.5,1,6.1,2.1,0.6,4.9,3.7,6.1,7,x,7,5.1,2.5,6,6.7,5,0.098039216,,0.306451613
Gambia,GMB,4.2,Medium,74,1.371428571,2.1,2.9,0.1,4.6,1.1,0,2.5,3,6.5,1.2,0,2.3,5.7,7.2,8.3,5.6,6.7,3.5,3.8,2.5,3.1,0.2,5.6,3.1,6.2,6.6,6.9,6.2,5.8,5.1,4.9,7.5,0,0,,0.257142857
Georgia,GEO,3.4,Medium,98,2.312437811,3.4,4.7,7.2,6.1,0,0,6,5.6,4.3,1.9,0.1,3.4,4.9,2.1,1.1,3,3.2,6.8,9.1,0.4,0.6,4.7,1.6,2,2.4,3.2,2.3,4.1,1.5,1,1.4,2.2,3,0.058823529,,0.28358209
Germany,DEU,2.6,Low,140,4.271345029,2.4,4.1,3.7,7.8,0,0,8,1.3,2.1,0.3,0.3,0.2,3.9,0.4,0,1.4,0.1,6.2,8.9,0.1,0.2,0,0.4,0.2,1.8,2.9,3.1,2.6,0.6,1.5,0,0.4,9,0.176470588,,0.350877193
Ghana,GHA,4,Medium,79,1.752380952,3.2,3.3,0.1,4.7,1.7,0,4.3,1.3,7.4,3.1,2.7,3.5,4.1,5.2,6.9,5.7,1.2,2.7,3.3,3.4,3,0.1,1.2,2,5,5,4.4,5.5,5,3.1,6.1,5.7,0,0,,0.328571429
Greece,GRC,3,Low,117,4.342857143,3.1,4.8,8.1,3.8,7.2,0,5,2,3.9,0.9,0.1,1.7,2.9,0.5,0.1,1.8,0.1,4.8,7.4,0.2,0.3,0.3,1.1,0.5,3.1,4.9,x,4.9,0.8,2.1,0,0.4,12,0.235294118,,0.214285714
Grenada,GRD,2.6,Low,140,7.58974359,1.7,3.2,3.4,0,0,6,2.5,4.4,4.4,0,0,0,3,2.4,2.1,4.7,0.7,3.5,0,0.1,1.2,10,5.1,5.9,3.5,4.2,3.6,4.7,2.7,2.9,0.6,4.7,19,0.37254902,,0.673076923
Guatemala,GTM,5.3,High,39,3.975757576,4.8,5.8,9.5,4.2,6.8,3.7,3.7,3.5,5.5,3.5,3.8,3.1,6.2,5.6,6.8,6.1,2.6,6.7,7.5,0.4,2.5,10,2.9,5.7,5,5.7,4.2,7.2,4.1,3.1,4.2,4.9,4,0.078431373,,0.545454545
Guinea,GIN,4.9,Medium,48,1.886567164,3.5,3.7,0.1,5.5,2.7,0,4.9,0.7,7.8,3.2,0.6,5.1,4.6,6.1,9.1,4.7,1.3,2.7,1.6,5.1,5.4,1.4,2.2,3.7,7.3,7,x,7,7.5,6.4,7.3,8.8,2,0.039215686,,0.253731343
Guinea-Bissau,GNB,4.3,Medium,68,1.678431373,2,2.4,0.1,2.8,0,0,2.1,2,7,1.5,0.1,2.7,5.2,6.8,8.9,5.3,4,3.1,0,5.8,4.6,0,8.2,5.3,7.8,7.9,x,7.9,7.6,6.2,8.2,8.3,1,0.019607843,,0.264705882
Guyana,GUY,3.9,Medium,85,2.833333333,3.1,4.5,0.1,6.9,2.5,0,7,3.7,7.1,1.4,0.1,2.5,3.9,3.8,3.1,5.5,3.6,3.9,5.9,2,2.1,0,0.6,1.2,4.9,6.1,6.3,5.9,3.3,2.3,3.9,3.6,5,0.098039216,,0.28125
Haiti,HTI,7.2,Very High,12,4.820512821,7.5,6.3,8.4,4.6,4.1,8.9,4.5,3.8,6.7,8.4,9.6,6.4,6.7,6.6,7.8,6.2,4.7,6.7,7.7,2.5,3.2,2.5,9.4,5.5,7.3,8.1,7.1,9,6.3,6,5,7.9,4,0.078431373,,0.523076923
Honduras,HND,5.8,High,27,3.897435897,6,5.8,8.1,5.4,6.4,4.6,4,5,6.1,6.1,7.8,3.5,5.5,5.5,5.9,5.7,4.5,5.5,7.5,0.8,1.4,2,4.9,2.4,5.9,7.2,x,7.2,4.2,3.3,3.7,5.5,6,0.117647059,,0.430769231
Hungary,HUN,2.3,Low,158,4.533333333,1.9,2.8,1.8,7.3,0,0,0,3.1,4,0.9,0.1,1.7,2.4,1.2,1,2.1,0.5,3.4,5.6,0.1,0.3,0,1.2,0.4,2.8,4.4,3.7,5.1,0.8,1.5,0.1,0.8,12,0.235294118,,0.25
Iceland,ISL,1.6,Very Low,184,5.04691358,1.3,2.5,5.4,0,0,0,6.5,0,2.7,0,0,0,1.8,0.1,0,0.4,0.1,3.3,5.4,0.1,0.2,0.5,0.4,0.3,1.8,2.1,x,2.1,1.5,1.3,2.6,0.6,13,0.254901961,,0.296296296
India,IND,5.5,High,32,3.050505051,8.1,7.8,8.3,9.2,7.8,7.7,7.8,6.4,6.7,8.4,10,4.6,4.6,4.1,6,3.9,0.4,5,6.4,2.3,4.6,1.9,4.1,3.3,4.4,4.4,3.7,5.1,4.4,4,3.8,5.4,4,0.078431373,,0.257575758
Indonesia,IDN,4.5,Medium,62,2.471641791,7.1,7.4,8.9,8.4,9.3,1.5,8.1,3.4,7.4,6.7,8.6,3.5,3.4,3.2,4,4.4,0.2,3.6,4.3,2.7,2.8,3.9,2.2,2.9,3.9,3.7,2.3,5.1,4.1,2.1,3.9,6.2,3,0.058823529,,0.313432836
Iran,IRN,6,High,23,5.139784946,8.1,6.7,9.3,7.3,5.5,1.6,7.4,6.5,6.2,9,9.9,7.6,4.7,2.3,2.4,4.5,0,6.5,9,0.1,1,0.6,2.2,1,5.6,7.4,x,7.4,2.8,1.5,3.6,3.4,8,0.156862745,YES,0.370967742
Iraq,IRQ,5.8,High,27,3.388059701,7.7,5.7,5.1,9.6,0,0,4.5,7.5,6.3,9,10,7.2,5.2,3.9,5.1,4.3,0.9,6.3,8.7,0.3,1.4,0,4.1,1.6,4.9,6,4.3,7.6,3.6,2.6,3.2,5.1,3,0.058823529,YES,0.358208955
Ireland,IRL,2.1,Very Low,166,4.678787879,1.2,2.2,0.1,3.5,1.8,0,5.9,0.5,1.9,0.1,0.1,0.1,2.7,0.3,0,1.2,0,4.6,7.3,0.2,0.2,0,0,0.1,3,4.7,7.2,2.1,0.9,1.6,0.7,0.5,11,0.215686275,,0.327272727
Israel,ISR,3.2,Medium,109,6,5.8,3.6,6.9,0.3,2.7,0,2.4,5.3,4.8,7.3,5.9,8.3,3.1,0.6,0,2.2,0.1,5,7.7,0.1,0.3,0,0,0.1,1.9,3.2,x,3.2,0.5,1.1,0,0.3,14,0.274509804,YES,0.2
Italy,ITA,3,Low,117,3.31954023,2.9,5,7.7,6.2,6.1,0,6.5,2.8,1.9,0.2,0.2,0.2,2.7,0.4,0,1.6,0.1,4.5,7.2,0.2,0.2,0,0.1,0.1,3.4,5.5,6.8,4.2,0.5,1.2,0,0.4,9,0.176470588,,0.172413793
Jamaica,JAM,3.1,Low,113,4.848087432,3.1,5,7.9,0,0,8.2,5.5,2.7,5.5,0.7,0.5,0.8,2.7,3.7,3.9,4.3,2.6,1.5,0,0.9,1,5.7,2.7,2.8,3.6,4.2,3.4,4.9,2.9,2.1,1.9,4.7,9,0.176470588,,0.459016393
Japan,JPN,2.1,Very Low,166,4.019047619,5.8,8.3,9.7,7.8,10,9.2,9.4,0.5,3.7,0.9,0.1,1.7,1.6,0.4,0,1.5,0,2.6,4.1,0.1,0.5,0.2,2.7,0.9,1,1.2,0,2.3,0.7,1.1,0.1,1,9,0.176470588,,0.303571429
Jordan,JOR,4,Medium,79,3.062365591,3,3.4,7.3,0.4,0,0,0.2,6.7,4.4,2.5,1.9,3.1,6.1,3.4,2.1,4.1,5.2,7.9,10,0.1,0.9,0,5,1.8,3.4,4,3.2,4.7,2.7,2.2,2.4,3.6,6,0.117647059,,0.274193548
Kazakhstan,KAZ,2.7,Low,135,4.565656566,2.7,3.9,5.6,7.6,0,0,0,6.1,3.6,1.4,0.1,2.6,2.3,1.2,1.4,1.8,0,3.3,5.3,0.6,0.6,0.6,0.4,0.6,3.3,4.3,3.2,5.4,2.1,1.1,3.5,1.7,5,0.098039216,,0.606060606
Kenya,KEN,6,High,23,1.714285714,6.1,4.2,2.8,5.1,3.2,0,2.7,6.7,6.4,7.5,8.8,5.6,6.1,5.4,7.3,5.3,1.7,6.7,8,3.1,2.7,1.3,8.7,4.8,5.7,5,3.8,6.2,6.3,3.9,7.8,7.1,0,0,,0.257142857
Kiribati,KIR,3.6,Medium,89,5.904761905,2.5,4.5,0.1,0,7.7,0,8.4,3.5,5.3,0,0,0,4.2,5.1,6.3,0.7,7.1,3.1,0,9.9,2.9,0,0.7,5.3,4.5,4.7,4.2,5.2,4.3,3.4,3.9,5.5,10,0.196078431,,0.607142857
